번호,발생시각,규모,깊이,최대진도,위도,경도,위치
1173,2022-10-29 8:29,2.9,11,Ⅳ,36.88 N,127.89 E,충북 괴산군 북동쪽 12km 지역
1172,2022-10-29 8:29,2.2,10,Ⅳ,36.88 N,127.87 E,충북 괴산군 북동쪽 10km 지역
1171,2022-10-29 8:27,4.1,12,Ⅴ,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역
1170,2022-10-29 8:27,3.5,13,Ⅴ,36.88 N,127.88 E,충북 괴산군 북동쪽 11km 지역
1169,2022-10-08 14:33,2.4,14,Ⅰ,41.29 N,129.21 E,북한 함경북도 길주 북북서쪽 39km 지역
1168,2022-10-08 2:54,2.5,23,Ⅰ,41.30 N,129.13 E,북한 함경북도 길주 북북서쪽 42km 지역
1167,2022-10-01 4:37,2.7,14,Ⅲ,36.94 N,127.13 E,충남 천안시 서북구 북북서쪽 7km 지역
1166,2022-09-23 7:40,2.3,-,Ⅰ,35.69 N,124.59 E,충남 태안군 서격렬비도 남서쪽 134km 해역
1165,2022-09-22 20:28,2.9,10,Ⅰ,40.57 N,126.71 E,북한 자강도 용림 북북동쪽 7km 지역
1164,2022-09-11 16:28,2.4,13,Ⅰ,36.46 N,129.63 E,경북 영덕군 동북동쪽 24km 해역
1163,2022-09-10 14:59,3.4,7,Ⅱ,38.95 N,127.29 E,북한 강원 원산 남남서쪽 26km 지역
1162,2022-09-03 0:44,2,18,Ⅰ,36.39 N,129.89 E,경북 영덕군 동쪽 47km 해역
1161,2022-09-01 8:33,2.5,-,Ⅰ,35.11 N,125.07 E,전남 신안군 흑산도 북북서쪽 58km 해역
1160,2022-08-28 1:54,2.4,12,Ⅰ,37.17 N,125.42 E,인천 옹진군 연평도 남남서쪽 60km 해역
1159,2022-08-24 18:31,2.1,20,Ⅰ,36.47 N,129.62 E,경북 영덕군 동북동쪽 24km 해역
1158,2022-08-22 13:29,2.4,-,Ⅰ,34.75 N,124.30 E,전남 신안군 흑산도 서쪽 103km 해역
1157,2022-08-16 20:27,2.4,-,Ⅰ,38.80 N,125.95 E,북한 황해북도 연산 서남서쪽 28km 지역
1156,2022-08-12 19:37,2.7,6,Ⅰ,37.41 N,124.53 E,인천 옹진군 백령도 남남서쪽 62km 해역
1155,2022-08-03 7:55,3.1,8,Ⅰ,33.14 N,127.67 E,전남 여수시 거문도 남남동쪽 104km 해역
1154,2022-07-31 22:05,2.6,-,Ⅰ,38.44 N,125.62 E,북한 황해남도 안악 남동쪽 13km 지역
1153,2022-07-29 5:36,2.6,13,Ⅳ,35.39 N,128.24 E,경남 의령군 북북서쪽 8km 지역
1152,2022-07-23 16:21,2.4,-,Ⅰ,38.44 N,125.63 E,북한 황해북도 사리원 서남서쪽 14km 지역
1151,2022-07-23 6:27,2.5,-,Ⅰ,38.45 N,125.63 E,북한 황해북도 사리원 서남서쪽 13km 지역
1150,2022-07-21 18:38,2.3,10,Ⅲ,36.80 N,126.25 E,충남 태안군 북서쪽 7km 지역
1149,2022-07-21 4:46,2.3,13,Ⅲ,35.79 N,129.20 E,경북 경주시 남남서쪽 8km 지역
1148,2022-07-20 16:19,2,17,Ⅱ,36.29 N,126.87 E,충남 부여군 서북서쪽 4km 지역
1147,2022-07-16 13:53,2.1,14,Ⅰ,33.64 N,128.11 E,전남 여수시 거문도 동남동쪽 85km 해역
1146,2022-07-12 10:38,2.6,6,Ⅰ,33.13 N,127.66 E,제주 서귀포시 동쪽 103km 해역
1145,2022-07-12 10:09,2.7,7,Ⅰ,33.11 N,127.66 E,제주 서귀포시 동쪽 104km 해역
1144,2022-07-12 9:56,2.3,6,Ⅰ,33.12 N,127.64 E,제주 서귀포시 동쪽 102km 해역
1143,2022-07-12 0:44,2.2,10,Ⅰ,33.14 N,127.66 E,제주 서귀포시 동쪽 103km 해역
1142,2022-07-12 0:41,2.1,10,Ⅰ,33.14 N,127.65 E,제주 서귀포시 동쪽 102km 해역
1141,2022-07-03 7:54,2.6,13,Ⅰ,33.31 N,127.45 E,전남 여수시 거문도 남쪽 81km 해역
1140,2022-06-30 22:51,2.3,6,Ⅳ,37.02 N,128.98 E,경북 봉화군 동북동쪽 26km 지역
1139,2022-06-30 2:55,2.1,18,Ⅰ,35.90 N,129.73 E,경북 포항시 남구 동남동쪽 35km 해역
1138,2022-06-29 15:26,2.3,21,Ⅰ,35.89 N,129.70 E,경북 포항시 남구 동남동쪽 33km 해역
1137,2022-06-02 20:48,2.6,26,Ⅰ,38.12 N,130.98 E,경북 울릉군 울릉도 북쪽 71km 해역
