통화명,매매기준율,현찰 살 때,현찰 팔 때,송금 보낼때,송금 받을때,미화 환산율
미국 USD,"1,433.00","1,458.07","1,407.93","1,447.00","1,419.00",1
유럽연합 EUR,"1,391.16","1,418.84","1,363.48","1,405.07","1,377.25",0.971
일본 JPY (100엔),983.29,"1,000.49",966.09,992.92,973.66,0.686
중국 CNY,199.6,209.58,189.62,201.59,197.61,0.139
홍콩 HKD,182.55,186.14,178.96,184.37,180.73,0.127
대만 TWD,44.96,50.84,41.82,N/A,N/A,0.031
영국 GBP,"1,584.18","1,615.38","1,552.98","1,600.02","1,568.34",1.106
오만 OMR,"3,721.88","4,053.12","3,498.57",N/A,N/A,2.597
캐나다 CAD,"1,035.63","1,056.03","1,015.23","1,045.98","1,025.28",0.723
스위스 CHF,"1,435.30","1,463.57","1,407.03","1,449.65","1,420.95",1.002
스웨덴 SEK,126.32,129.41,123.23,127.58,125.06,0.088
호주 AUD,897.06,914.73,879.39,906.03,888.09,0.626
뉴질랜드 NZD,799.33,815.07,783.59,807.32,791.34,0.558
체코 CZK,56.69,61.5,51.59,57.31,56.07,0.04
칠레 CLP,1.53,1.65,1.41,N/A,N/A,0.001
터키 TRY,77.11,N/A,N/A,77.95,76.27,0.054
몽골 MNT,0.43,N/A,N/A,N/A,N/A,0
이스라엘 ILS,398.89,438.77,366.98,N/A,N/A,0.278
덴마크 DKK,187,191.58,182.42,188.87,185.13,0.131
노르웨이 NOK,133.21,136.47,129.95,134.54,131.88,0.093
사우디아라비아 SAR,381.37,405.39,355.06,385.18,377.56,0.266
쿠웨이트 KWD,"4,616.77","4,916.86","4,247.43","4,662.93","4,570.61",3.222
바레인 BHD,"3,799.25","4,042.40","3,495.31","3,837.24","3,761.26",2.651
아랍에미리트 AED,390.14,411.59,363.23,394.04,386.24,0.272
요르단 JOD,"2,019.02","2,198.71","1,857.50",N/A,N/A,1.409
이집트 EGP,72.82,N/A,N/A,N/A,N/A,0.051
태국 THB,37.54,39.41,35.29,37.91,37.17,0.026
싱가포르 SGD,996.14,"1,015.96",976.32,"1,006.10",986.18,0.695
말레이시아 MYR,306.66,325.97,283.97,N/A,303.6,0.214
인도네시아 IDR 100,9.35,10,8.42,9.44,9.26,0.007
카타르 QAR,392.17,N/A,N/A,N/A,N/A,0.274
카자흐스탄 KZT,3,N/A,N/A,N/A,N/A,0.002
브루나이 BND,996.14,"1,035.98",936.38,N/A,N/A,0.695
인도 INR,17.42,N/A,N/A,N/A,N/A,0.012
파키스탄 PKR,6.6,N/A,N/A,N/A,N/A,0.005
방글라데시 BDT,14.04,N/A,N/A,N/A,N/A,0.01
필리핀 PHP,24.33,26.76,22.34,24.57,24.09,0.017
멕시코 MXN,71.71,78.88,65.69,72.42,71,0.05
브라질 BRL,276.19,304.36,254.1,N/A,272.88,0.193
베트남 VND 100,5.99,6.69,5.29,6.04,5.94,0.004
남아프리카 공화국 ZAR,78.95,83.68,72.64,79.89,78.01,0.055
러시아 RUB,22.47,24.6,18.54,23.25,21.69,0.016
헝가리 HUF,3.25,3.55,2.99,3.28,3.22,0.002
폴란드 PLN,285.79,308.65,262.93,288.93,282.65,0.199
스리랑카 LKR,3.91,N/A,N/A,N/A,N/A,0.003
알제리 DZD,10.19,N/A,N/A,N/A,N/A,0.007
케냐 KES,11.85,N/A,N/A,N/A,N/A,0.008
콜롬비아 COP,0.31,N/A,N/A,N/A,N/A,0
탄자니아 TZS,0.61,N/A,N/A,N/A,N/A,0
네팔 NPR,10.88,N/A,N/A,N/A,N/A,0.008
루마니아 RON,281.7,N/A,N/A,N/A,N/A,0.197
리비아 LYD,285.06,N/A,N/A,287.91,282.21,0.199
마카오 MOP,177.24,N/A,N/A,N/A,N/A,0.124
미얀마 MMK,0.68,N/A,N/A,N/A,N/A,0.001
에티오피아 ETB,27.09,N/A,N/A,N/A,N/A,0.019
우즈베키스탄 UZS,0.13,N/A,N/A,N/A,N/A,0
캄보디아 KHR,0.35,N/A,N/A,N/A,N/A,0
피지 FJD,615.47,N/A,N/A,N/A,N/A,0.43
